Sno,Album_Name,Artist_Name,Song_Name,Price,Time,Released,Label,Copyright,Genre,Group
1,! (Volume 2) [Explicit],Rusko,Saxophone Stomp [Explicit],$1.29,3:20," September 16, 2014", Decca International, (C) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"Dance & Electronic,Dubstep",Dance
2,! (Volume 2) [Explicit],Rusko,I Wanna Mingle [feat. Pusher],$1.29,2:36," September 16, 2014", Decca International, (C) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"Dance & Electronic,Dubstep",Dance
3,! (Volume 2) [Explicit],Rusko,Lytah,$1.29,3:48," September 16, 2014", Decca International, (C) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"Dance & Electronic,Dubstep",Dance
4,! (Volume 2) [Explicit],Rusko,Slappy Pappy,$1.29,3:55," September 16, 2014", Decca International, (C) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"Dance & Electronic,Dubstep",Dance
5,! (Volume 2) [Explicit],Rusko,Fushion Jam,$1.29,1:48," September 16, 2014", Decca International, (C) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"Dance & Electronic,Dubstep",Dance
6,! (Volume 2) [Explicit],Rusko,Vaminos,$1.29,2:57," September 16, 2014", Decca International, (C) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"Dance & Electronic,Dubstep",Dance
7,!AKing of Pop Moon Walk Man,!Creekside,!AKing of Pop Moon Walk Man,$0.99,3:40," November 11, 2010", !Creekside, 2010 !Creekside,"Dance & Electronic,Pop",Dance
8,!,Rusko,Like A Boss,$1.29,3:55," July 29, 2014", Decca International, (C) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"Dance & Electronic,Dubstep",Dance
9,!,Rusko,Sunshower,$1.29,4:06," July 29, 2014", Decca International, (C) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"Dance & Electronic,Dubstep",Dance
10,!,Rusko,My Style,$1.29,3:41," July 29, 2014", Decca International, (C) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"Dance & Electronic,Dubstep",Dance
11,!,Rusko,Happy Chords,$1.29,3:33," July 29, 2014", Decca International, (C) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"Dance & Electronic,Dubstep",Dance
12,!,Rusko,Rusko Theme,$1.29,3:06," July 29, 2014", Decca International, (C) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"Dance & Electronic,Dubstep",Dance
13,"La Gorriona""""",Los Sabios del Norte,Cuando Salgo A Los Campos,$0.99,3:36," February 9, 2011", Perico Records, 2013 Perico Records,"International,Latin Music",Other
14,"La Gorriona""""",Los Sabios del Norte,El Buke De Mas Potencia,$0.99,3:52," February 9, 2011", Perico Records, 2013 Perico Records,"International,Latin Music",Other
15,"La Gorriona""""",Los Sabios del Norte,Te He Prometido,$0.99,2:47," February 9, 2011", Perico Records, 2013 Perico Records,"International,Latin Music",Other
16,"La Gorriona""""",Los Sabios del Norte,Corazon Malo,$0.99,3:21," February 9, 2011", Perico Records, 2013 Perico Records,"International,Latin Music",Other
17,"La Gorriona""""",Los Sabios del Norte,Corazon De Texas,$0.99,3:44," February 9, 2011", Perico Records, 2013 Perico Records,"International,Latin Music",Other
18,"La Gorriona""""",Los Sabios del Norte,La Entalladita,$0.99,3:11," February 9, 2011", Perico Records, 2013 Perico Records,"International,Latin Music",Other
19,"La Gorriona""""",Los Sabios del Norte,Toca El Saxo,$0.99,3:30," February 9, 2011", Perico Records, 2013 Perico Records,"International,Latin Music",Other
20,"La Gorriona""""",Los Sabios del Norte,Cruz De Olvido,$0.99,3:19," February 9, 2011", Perico Records, 2013 Perico Records,"International,Latin Music",Other
21,"La Gorriona""""",Los Sabios del Norte,El Borrachito,$0.99,3:29," February 9, 2011", Perico Records, 2013 Perico Records,"International,Latin Music",Other
22,"La Gorriona""""",Los Sabios del Norte,Anabel,$0.99,3:05," February 9, 2011", Perico Records, 2013 Perico Records,"International,Latin Music",Other
23,"La Gorriona""""",Los Sabios del Norte,Ya Te Vi,$0.99,3:57," February 9, 2011", Perico Records, 2013 Perico Records,"International,Latin Music",Other
24,"La Gorriona""""",Los Sabios del Norte,El Farolito,$0.99,3:20," February 9, 2011", Perico Records, 2013 Perico Records,"International,Latin Music",Other
25,"La Gorriona""""",Los Sabios del Norte,Tatuajes,$0.99,3:44," February 9, 2011", Perico Records, 2013 Perico Records,"International,Latin Music",Other
26,"La Gorriona""""",Los Sabios del Norte,La Gorriona,$0.99,2:24," February 9, 2011", Perico Records, 2013 Perico Records,"International,Latin Music",Other
27,"La Gorriona""""",Los Sabios del Norte,El Jardinero,$0.99,4:02," February 9, 2011", Perico Records, 2013 Perico Records,"International,Latin Music",Other
28,"Notice Me"" 2012 - Little Carlos Retro Mix""","Matthias Heilbronn, Sandee",Notice Me (Little Carlos Retro Mix),$0.99,8:49," July 30, 2012", InHouse Records, 2012 InHouse Records,"Electronica,Dance & Electronic,House",Electronic
